ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.44 cm2                   0.15 cm2                   0.15 cm2                   0.15 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            232363  68637.5  no     222404  129851   no     191330  102904   no     101123  50579.9  no    
0            230455  70791.7  no     216946  122169   no     189637  111253   no      97223  36827.5  no    
0            230923  64473.4  no     201732  115713   no     195069  105687   no     103352  43682.7  no    
0            225064  67751.2  no     206078  112522   no     192011  106024   no     102977  53022.7  no    
0            230102  62641.6  no     207675  119141   no     190020  104213   no     107818  55227.8  no    
0            222610  65103.0  no     212366  112191   no     188866  102951   no     108678  48124.0  no    
0            226913  70498.6  no     209528  113440   no     198951  101619   no     100777  42437.0  no    
0            225045  69365.9  no     214824  125429   no     190685   93391   no     107761  57099.1  no    
0            228792  70938.7  no     207564  129719   no     199263   96308   no     102914  51697.5  no    
0            227926  71824.7  no     232833  139188   no     198795   96377   no      96406  45857.2  no    
0            230703  72801.5  no     236995  180311   no     196909   74848   no      93117  53293.9  no    
0            230931  72040.0  no     236514  195264   no     195882   78262   no      93055  48711.7  no    
0            228032  74094.5  no     232367  198012   no     202739   79416   no      91179  54691.0  no    
0            232352  74851.7  no     247863  204887   no     199694   75018   no      88447  43974.2  no    
0            227206  72768.3  no     255708  225747   no     206448   71285   no      88197  52585.2  no    
0            227352  74637.2  no     247601  232937   no     204931   63220   no      87663  52019.9  no    
0            233769  75322.1  no     260764  239605   no     201891   65701   no      85492  51130.5  no    
0            235264  74996.7  no     257251  242334   no     197991   70404   no      84773  50989.9  no    
0            230755  76737.6  no     258364  246419   no     206060   67157   no      93457  54742.9  no    
0            232673  73401.9  no     251254  237197   no     199626   61326   no      86120  53040.7  no    
0            232403  76070.0  no     253883  230367   no     191199   73707   no      79392  50764.1  no    
0            227875  76466.3  no     258382  229976   no     192243   74687   no      87823  47023.9  no    
0            227321  77127.8  no     250781  223043   no     199460   72373   no      87365  49791.4  no    
0            220827  75828.8  no     248163  214022   no     198835   80184   no      88567  54700.3  no    
0            223092  74478.0  no     234679  202361   no     196503   76500   no      89848  43041.6  no    
0            227061  76089.8  no     238560  204268   no     195613   76621   no      98507  51163.4  no    
0            224431  72764.1  no     228818  188214   no     197166   88987   no      90811  43742.4  no    
0            224123  72458.5  no     234419  173059   no     181175   92281   no     102071  48123.4  no    
0            216826  66096.1  no     229257  169830   no     201038   82773   no     101525  47548.1  no    
0            225669  66863.2  no     231971  184977   no     192197   85683   no      90905  54544.1  no    
0            220906  74005.6  no     239531  178894   no     202075   80390   no      97856  53464.0  no    
0            222892  72749.5  no     232086  186001   no     199871   77990   no      99295  54804.7  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	2.323633e+05
0.000000e+00	2.304553e+05
0.000000e+00	2.309234e+05
0.000000e+00	2.250636e+05
0.000000e+00	2.301016e+05
0.000000e+00	2.226101e+05
0.000000e+00	2.269126e+05
0.000000e+00	2.250447e+05
0.000000e+00	2.287915e+05
0.000000e+00	2.279257e+05
0.000000e+00	2.307030e+05
0.000000e+00	2.309310e+05
0.000000e+00	2.280319e+05
0.000000e+00	2.323523e+05
0.000000e+00	2.272061e+05
0.000000e+00	2.273522e+05
0.000000e+00	2.337686e+05
0.000000e+00	2.352641e+05
0.000000e+00	2.307552e+05
0.000000e+00	2.326727e+05
0.000000e+00	2.324028e+05
0.000000e+00	2.278754e+05
0.000000e+00	2.273212e+05
0.000000e+00	2.208270e+05
0.000000e+00	2.230923e+05
0.000000e+00	2.270613e+05
0.000000e+00	2.244305e+05
0.000000e+00	2.241227e+05
0.000000e+00	2.168257e+05
0.000000e+00	2.256689e+05
0.000000e+00	2.209063e+05
0.000000e+00	2.228918e+05

Line="Roi_2"
0.000000e+00	2.224043e+05
0.000000e+00	2.169456e+05
0.000000e+00	2.017319e+05
0.000000e+00	2.060784e+05
0.000000e+00	2.076750e+05
0.000000e+00	2.123656e+05
0.000000e+00	2.095280e+05
0.000000e+00	2.148242e+05
0.000000e+00	2.075637e+05
0.000000e+00	2.328334e+05
0.000000e+00	2.369947e+05
0.000000e+00	2.365136e+05
0.000000e+00	2.323669e+05
0.000000e+00	2.478632e+05
0.000000e+00	2.557079e+05
0.000000e+00	2.476013e+05
0.000000e+00	2.607636e+05
0.000000e+00	2.572511e+05
0.000000e+00	2.583637e+05
0.000000e+00	2.512544e+05
0.000000e+00	2.538835e+05
0.000000e+00	2.583823e+05
0.000000e+00	2.507811e+05
0.000000e+00	2.481633e+05
0.000000e+00	2.346790e+05
0.000000e+00	2.385600e+05
0.000000e+00	2.288183e+05
0.000000e+00	2.344193e+05
0.000000e+00	2.292569e+05
0.000000e+00	2.319707e+05
0.000000e+00	2.395313e+05
0.000000e+00	2.320864e+05

Line="Roi_3"
0.000000e+00	1.913301e+05
0.000000e+00	1.896371e+05
0.000000e+00	1.950694e+05
0.000000e+00	1.920114e+05
0.000000e+00	1.900197e+05
0.000000e+00	1.888663e+05
0.000000e+00	1.989510e+05
0.000000e+00	1.906849e+05
0.000000e+00	1.992632e+05
0.000000e+00	1.987950e+05
0.000000e+00	1.969091e+05
0.000000e+00	1.958819e+05
0.000000e+00	2.027385e+05
0.000000e+00	1.996938e+05
0.000000e+00	2.064484e+05
0.000000e+00	2.049315e+05
0.000000e+00	2.018909e+05
0.000000e+00	1.979915e+05
0.000000e+00	2.060603e+05
0.000000e+00	1.996262e+05
0.000000e+00	1.911994e+05
0.000000e+00	1.922426e+05
