ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.27 cm2                   0.14 cm2                  0.067 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            469040  93178.4  no     551423  32088.6  no     893225  130510   no    
0            347761  78886.5  no     420643  35000.2  no     769345  118658   no    
0            220948  56927.1  no     276826  32787.3  no     597238   85900   no    
0            168514  47526.2  no     212439  31196.2  no     512363   74024   no    
0            110651  40372.4  no     142760  31715.8  no     407574   63974   no    
0             89175  36521.6  no     111119  29712.0  no     358354   62937   no    
0             63421  28303.0  no      81526  27150.9  no     289410   52711   no    
0             54008  29503.2  no      67709  26323.8  no     257829   50281   no    
0             42974  24798.9  no      53424  23918.0  no     216406   45941   no    
0             37676  21218.2  no      48918  21799.1  no     196306   50727   no    
0             32768  19139.1  no      38207  21339.3  no     162856   45002   no    
0             32838  19083.9  no      36564  20075.1  no     151551   47149   no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	4.690399e+05
0.000000e+00	3.477607e+05
0.000000e+00	2.209475e+05
0.000000e+00	1.685136e+05
0.000000e+00	1.106512e+05
0.000000e+00	8.917536e+04
0.000000e+00	6.342069e+04
0.000000e+00	5.400810e+04
0.000000e+00	4.297366e+04
0.000000e+00	3.767639e+04
0.000000e+00	3.276788e+04
0.000000e+00	3.283819e+04

Line="Roi_2"
0.000000e+00	5.514234e+05
0.000000e+00	4.206427e+05
0.000000e+00	2.768260e+05
0.000000e+00	2.124389e+05
0.000000e+00	1.427599e+05
0.000000e+00	1.111192e+05
0.000000e+00	8.152576e+04
0.000000e+00	6.770893e+04
0.000000e+00	5.342441e+04
0.000000e+00	4.891849e+04
0.000000e+00	3.820653e+04
0.000000e+00	3.656384e+04

Line="Roi_3"
0.000000e+00	8.932255e+05
0.000000e+00	7.693451e+05
0.000000e+00	5.972384e+05
0.000000e+00	5.123628e+05
0.000000e+00	4.075743e+05
0.000000e+00	3.583539e+05
0.000000e+00	2.894103e+05
0.000000e+00	2.578286e+05
0.000000e+00	2.164064e+05
0.000000e+00	1.963064e+05
0.000000e+00	1.628563e+05
0.000000e+00	1.515512e+05

