ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.31 cm2                   0.14 cm2                   0.28 cm2                   0.14 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            599861  68491.6  no     573887  81078.3  no     562547  77393.8  no     482958  99801.0  no    
0            497850  69090.6  no     469650  72198.5  no     441074  70098.9  no     373563  75940.1  no    
0            352545  63372.4  no     299005  51438.9  no     294175  51933.6  no     225339  48419.6  no    
0            294670  63690.6  no     255499  51933.4  no     224126  46388.0  no     176311  39299.3  no    
0            221465  56987.2  no     180432  45038.2  no     157677  39932.0  no     111905  23869.2  no    
0            186124  56696.5  no     150756  40001.6  no     127758  38866.1  no      85699  24840.8  no    
0            148608  48318.2  no     117243  35209.9  no      92119  33698.2  no      57957  16128.7  no    
0            126818  46446.9  no      92248  33397.1  no      78484  32107.5  no      50947  18542.7  no    
0            104351  45872.7  no      71313  31400.4  no      56496  28656.1  no      31648  15723.1  no    
0             92486  41336.3  no      59580  29835.6  no      52418  27703.5  no      30999  16192.0  no    
0             77126  38589.5  no      51939  25273.8  no      41068  25156.7  no      25614  10954.4  no    
0             67434  34529.9  no      44298  25892.4  no      37892  25045.6  no      23646  11164.0  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	5.998610e+05
0.000000e+00	4.978502e+05
0.000000e+00	3.525453e+05
0.000000e+00	2.946699e+05
0.000000e+00	2.214654e+05
0.000000e+00	1.861238e+05
0.000000e+00	1.486078e+05
0.000000e+00	1.268182e+05
0.000000e+00	1.043513e+05
0.000000e+00	9.248578e+04
0.000000e+00	7.712612e+04
0.000000e+00	6.743374e+04

Line="Roi_2"
0.000000e+00	5.738872e+05
0.000000e+00	4.696498e+05
0.000000e+00	2.990052e+05
0.000000e+00	2.554994e+05
0.000000e+00	1.804318e+05
0.000000e+00	1.507558e+05
0.000000e+00	1.172435e+05
0.000000e+00	9.224843e+04
0.000000e+00	7.131277e+04
0.000000e+00	5.957976e+04
0.000000e+00	5.193901e+04
0.000000e+00	4.429774e+04

Line="Roi_3"
0.000000e+00	5.625473e+05
0.000000e+00	4.410738e+05
0.000000e+00	2.941751e+05
0.000000e+00	2.241258e+05
0.000000e+00	1.576768e+05
0.000000e+00	1.277582e+05
0.000000e+00	9.211915e+04
0.000000e+00	7.848413e+04
0.000000e+00	5.649565e+04
0.000000e+00	5.241776e+04
0.000000e+00	4.106791e+04
0.000000e+00	3.789205e+04

Line="Roi_4"
0.000000e+00	4.829579e+05
0.000000e+00	3.735632e+05
0.000000e+00	2.253392e+05
0.000000e+00	1.763111e+05
0.000000e+00	1.119045e+05
0.000000e+00	8.569856e+04
0.000000e+00	5.795717e+04
0.000000e+00	5.094727e+04
0.000000e+00	3.164827e+04
0.000000e+00	3.099853e+04
0.000000e+00	2.561377e+04
0.000000e+00	2.364555e+04

