ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.24 cm2                  0.063 cm2                   0.10 cm2                 0.0601 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            553311  51941.8  no     432949  29282.8  no     442803  33915.7  no     380513  29321.4  no    
0            494480  60584.5  no     342671  26475.9  no     347191  30112.9  no     289225  22115.6  no    
0            385659  58931.3  no     219165  20078.6  no     222376  26294.5  no     178620  16910.8  no    
0            345666  58531.4  no     179862  19690.0  no     175246  25879.2  no     137772  15969.1  no    
0            275502  55789.7  no     112285  18993.3  no     120463  22182.7  no      89849  10878.8  no    
0            251181  51771.0  no     102738  15119.4  no      90852  21399.6  no      70355  13823.2  no    
0            210405  49668.0  no      65274  15240.6  no      69166  16705.3  no      44622  12468.7  no    
0            186894  46523.8  no      61205  15718.5  no      53145  17953.6  no      36344  11479.4  no    
0            162854  45742.4  no      42425  13745.3  no      37759  15509.7  no      26854  13841.6  no    
0            146433  41953.7  no      35836  14691.9  no      33928  17095.1  no      24589  11585.9  no    
0            126519  39911.2  no      29676  10794.2  no      27727  12283.6  no      21451   9195.8  no    
0            115076  38933.6  no      26769  13177.0  no      23314  12404.3  no      18909   8617.7  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	5.533112e+05
0.000000e+00	4.944804e+05
0.000000e+00	3.856592e+05
0.000000e+00	3.456655e+05
0.000000e+00	2.755023e+05
0.000000e+00	2.511814e+05
0.000000e+00	2.104047e+05
0.000000e+00	1.868941e+05
0.000000e+00	1.628539e+05
0.000000e+00	1.464330e+05
0.000000e+00	1.265187e+05
0.000000e+00	1.150759e+05

Line="Roi_2"
0.000000e+00	4.329493e+05
0.000000e+00	3.426706e+05
0.000000e+00	2.191652e+05
0.000000e+00	1.798623e+05
0.000000e+00	1.122850e+05
0.000000e+00	1.027378e+05
0.000000e+00	6.527352e+04
0.000000e+00	6.120549e+04
0.000000e+00	4.242499e+04
0.000000e+00	3.583598e+04
0.000000e+00	2.967577e+04
0.000000e+00	2.676943e+04

Line="Roi_3"
0.000000e+00	4.428027e+05
0.000000e+00	3.471909e+05
0.000000e+00	2.223764e+05
0.000000e+00	1.752460e+05
0.000000e+00	1.204629e+05
0.000000e+00	9.085153e+04
0.000000e+00	6.916607e+04
0.000000e+00	5.314475e+04
0.000000e+00	3.775918e+04
0.000000e+00	3.392807e+04
0.000000e+00	2.772686e+04
0.000000e+00	2.331414e+04

Line="Roi_4"
0.000000e+00	3.805128e+05
0.000000e+00	2.892253e+05
0.000000e+00	1.786202e+05
0.000000e+00	1.377720e+05
0.000000e+00	8.984876e+04
0.000000e+00	7.035495e+04
0.000000e+00	4.462236e+04
0.000000e+00	3.634366e+04
0.000000e+00	2.685395e+04
0.000000e+00	2.458918e+04
0.000000e+00	2.145142e+04
0.000000e+00	1.890888e+04

