ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area      0.0703 cm2                 0.0923 cm2                 0.0835 cm2                 0.0747 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            371070  29769.3  no     302539  25031.2  no     347024  50969.9  no     285818  25501.4  no    
0            307208  30181.2  no     227234  19810.8  no     290361  49861.8  no     214889  20341.6  no    
0            228491  25260.6  no     140171  17747.4  no     191470  41027.4  no     133471  12589.2  no    
0            184888  28691.5  no     102610  14059.2  no     174839  43993.7  no     103002  12628.3  no    
0            143587  23244.5  no      63686  12099.7  no     125140  36659.3  no      63446  10867.1  no    
0            133393  24916.2  no      54422  13493.7  no     106123  33178.9  no      48421  13534.1  no    
0            105439  22936.7  no      32602  11393.0  no      88299  31741.0  no      34660   9060.7  no    
0             96510  21474.1  no      30130  11257.5  no      75358  30042.4  no      29038   9361.7  no    
0             80382  21326.4  no      20735   9473.6  no      63028  29351.1  no      21808   7860.1  no    
0             68080  18654.4  no      18209   9333.8  no      57274  26521.4  no      19935   7047.7  no    
0             64123  18230.4  no      13872   8822.9  no      48297  25659.6  no      15430   8436.3  no    
0             54427  20923.4  no      14598   7677.0  no      43965  22596.2  no      13991   8024.2  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	3.710697e+05
0.000000e+00	3.072079e+05
0.000000e+00	2.284910e+05
0.000000e+00	1.848885e+05
0.000000e+00	1.435868e+05
0.000000e+00	1.333929e+05
0.000000e+00	1.054389e+05
0.000000e+00	9.651014e+04
0.000000e+00	8.038242e+04
0.000000e+00	6.807960e+04
0.000000e+00	6.412341e+04
0.000000e+00	5.442714e+04

Line="Roi_2"
0.000000e+00	3.025386e+05
0.000000e+00	2.272344e+05
0.000000e+00	1.401707e+05
0.000000e+00	1.026099e+05
0.000000e+00	6.368648e+04
0.000000e+00	5.442202e+04
0.000000e+00	3.260187e+04
0.000000e+00	3.012976e+04
0.000000e+00	2.073520e+04
0.000000e+00	1.820853e+04
0.000000e+00	1.387220e+04
0.000000e+00	1.459830e+04

Line="Roi_3"
0.000000e+00	3.470243e+05
0.000000e+00	2.903613e+05
0.000000e+00	1.914702e+05
0.000000e+00	1.748389e+05
0.000000e+00	1.251397e+05
0.000000e+00	1.061232e+05
0.000000e+00	8.829890e+04
0.000000e+00	7.535783e+04
0.000000e+00	6.302756e+04
0.000000e+00	5.727375e+04
0.000000e+00	4.829742e+04
0.000000e+00	4.396466e+04

Line="Roi_4"
0.000000e+00	2.858178e+05
0.000000e+00	2.148887e+05
0.000000e+00	1.334710e+05
0.000000e+00	1.030024e+05
0.000000e+00	6.344584e+04
0.000000e+00	4.842149e+04
0.000000e+00	3.465961e+04
0.000000e+00	2.903769e+04
0.000000e+00	2.180764e+04
0.000000e+00	1.993511e+04
0.000000e+00	1.543048e+04
0.000000e+00	1.399087e+04

