ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.24 cm2                 0.0703 cm2                   0.23 cm2                 0.0645 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            214086  63069.5  no     195469  104287   no     245059   91211   no     204440  38007.5  no    
0            205494  65937.4  no     171182  111674   no     226459   97843   no     190349  43975.1  no    
0            224918  58375.2  no     189296  105909   no     216245  104737   no     175636  44106.4  no    
0            209172  59620.2  no     188166   98179   no     211605   89170   no     190267  38880.9  no    
0            222844  58035.2  no     190953  111235   no     214065   99423   no     189121  42182.7  no    
0            202643  66814.8  no     197974  137222   no     243984  110636   no     192219  36907.6  no    
0            207970  63132.7  no     195016  147847   no     221229  114869   no     183753  45756.4  no    
0            217270  64071.0  no     211374  141282   no     236488  125087   no     204070  48702.9  no    
0            214034  64970.9  no     202634  139943   no     269030  128732   no     211538  53929.9  no    
0            214539  72800.7  no     191812  141709   no     244887  137748   no     183579  40303.5  no    
0            214820  78915.9  no     201997  129325   no     263438  142904   no     207987  50506.5  no    
0            204399  68447.0  no     182874  121041   no     242126  146326   no     198601  39455.2  no    
0            196917  70106.1  no     195015  127748   no     277220  145185   no     215406  55229.9  no    
0            205340  70488.7  no     193229  146260   no     272317  145094   no     214637  58403.7  no    
0            212636  70030.9  no     197035  128280   no     263890  145473   no     208306  36943.2  no    
0            208025  67193.0  no     187039  146974   no     257072  138650   no     195572  37527.2  no    
0            218928  72538.1  no     213597  144291   no     250304  149132   no     199489  44177.7  no    
0            211106  68528.2  no     206155  140747   no     259367  148004   no     203057  49626.7  no    
0            220199  70494.9  no     180071  132588   no     266003  137644   no     202422  57668.4  no    
0            226423  77960.9  no     246815  206658   no     250073  140926   no     214562  47962.5  no    
0            215058  71122.6  no     245931  203277   no     268212  136824   no     206976  46244.4  no    
0            223639  73695.2  no     241746  188112   no     237814  128507   no     205435  51289.8  no    
0            220716  74857.6  no     241901  192243   no     251620  128186   no     199827  49628.3  no    
0            230836  70591.0  no     247927  208173   no     237900  129723   no     206153  54852.0  no    
0            200952  75231.2  no     229221  196389   no     231819  123540   no     191368  48183.5  no    
0            218846  73432.9  no     220682  196057   no     231810  119749   no     205122  52013.8  no    
0            216316  74451.6  no     242423  203002   no     242742  121661   no     199090  47683.6  no    
0            222849  61989.6  no     235285  199346   no     231798  124656   no     211820  39581.9  no    
0            214013  68986.6  no     234405  196051   no     234970  123130   no     207188  47177.5  no    
0            210872  73613.0  no     244285  185203   no     249768  128484   no     210428  45541.1  no    
0            227203  79732.5  no     215718  176544   no     235916  139413   no     206162  48005.3  no    
0            230750  71625.4  no     244953  175543   no     253700  155189   no     201944  43859.9  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	2.140860e+05
0.000000e+00	2.054940e+05
0.000000e+00	2.249185e+05
0.000000e+00	2.091716e+05
0.000000e+00	2.228437e+05
0.000000e+00	2.026433e+05
0.000000e+00	2.079698e+05
0.000000e+00	2.172696e+05
0.000000e+00	2.140338e+05
0.000000e+00	2.145389e+05
0.000000e+00	2.148203e+05
0.000000e+00	2.043990e+05
0.000000e+00	1.969173e+05
0.000000e+00	2.053401e+05
0.000000e+00	2.126356e+05
0.000000e+00	2.080255e+05
0.000000e+00	2.189283e+05
0.000000e+00	2.111063e+05
0.000000e+00	2.201993e+05
0.000000e+00	2.264227e+05
0.000000e+00	2.150579e+05
0.000000e+00	2.236390e+05
0.000000e+00	2.207158e+05
0.000000e+00	2.308358e+05
0.000000e+00	2.009522e+05
0.000000e+00	2.188465e+05
0.000000e+00	2.163163e+05
0.000000e+00	2.228489e+05
0.000000e+00	2.140131e+05
0.000000e+00	2.108721e+05
0.000000e+00	2.272027e+05
0.000000e+00	2.307497e+05

Line="Roi_2"
0.000000e+00	1.954694e+05
0.000000e+00	1.711825e+05
0.000000e+00	1.892955e+05
0.000000e+00	1.881658e+05
0.000000e+00	1.909533e+05
0.000000e+00	1.979742e+05
0.000000e+00	1.950157e+05
0.000000e+00	2.113744e+05
0.000000e+00	2.026344e+05
0.000000e+00	1.918117e+05
0.000000e+00	2.019971e+05
0.000000e+00	1.828742e+05
0.000000e+00	1.950145e+05
0.000000e+00	1.932287e+05
0.000000e+00	1.970351e+05
0.000000e+00	1.870389e+05
0.000000e+00	2.135968e+05
0.000000e+00	2.061550e+05
0.000000e+00	1.800712e+05
0.000000e+00	2.468149e+05
0.000000e+00	2.459313e+05
0.000000e+00	2.417462e+05
0.000000e+00	2.419008e+05
0.000000e+00	2.479271e+05
0.000000e+00	2.292208e+05
0.000000e+00	2.206824e+05
0.000000e+00	2.424227e+05
0.000000e+00	2.352850e+05
0.000000e+00	2.344052e+05
0.000000e+00	2.442852e+05
0.000000e+00	2.157178e+05
0.000000e+00	2.449533e+05

Line="Roi_3"
0.000000e+00	2.450591e+05
0.000000e+00	2.264593e+05
0.000000e+00	2.162446e+05
0.000000e+00	2.116047e+05
0.000000e+00	2.140651e+05
0.000000e+00	2.439839e+05
0.000000e+00	2.212291e+05
0.000000e+00	2.364879e+05
0.000000e+00	2.690304e+05
0.000000e+00	2.448868e+05
0.000000e+00	2.634379e+05
0.000000e+00	2.421255e+05
0.000000e+00	2.772198e+05
0.000000e+00	2.723166e+05
0.000000e+00	2.638901e+05
0.000000e+00	2.570719e+05
0.000000e+00	2.503037e+05
0.000000e+00	2.593669e+05
0.000000e+00	2.660026e+05
0.000000e+00	2.500733e+05
0.000000e+00	2.682124e+05
0.000000e+00	2.378140e+05
