ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.19 cm2                   0.12 cm2                  0.082 cm2                 0.0879 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            345501  55759.5  no     387784   94862   no     638072  401760   no     561798  253197   no    
0            333586  57237.1  no     373712  101076   no     637135  421701   no     544296  249368   no    
0            323804  57634.8  no     385702  103868   no     627117  407120   no     540493  255589   no    
0            321301  58963.8  no     378437   96931   no     625337  404377   no     559119  242630   no    
0            313559  57407.6  no     368859  111292   no     608796  389203   no     549488  244608   no    
0            307043  56277.6  no     362728  119208   no     597618  373877   no     547889  231673   no    
0            303139  51945.8  no     375037  114773   no     586193  373254   no     550503  233083   no    
0            302363  58514.3  no     362389  122554   no     559947  360127   no     511565  213678   no    
0            298184  61420.7  no     373293  128834   no     533918  338243   no     501716  220471   no    
0            296836  57039.6  no     347776  122047   no     495359  324256   no     471313  220523   no    
0            291656  54919.4  no     341143   96572   no     444250  254251   no     452794  206548   no    
0            295267  64337.7  no     352009  122788   no     404830  227325   no     458467  204474   no    
0            287388  57096.9  no     344890  127069   no     369147  191874   no     454393  183475   no    
0            282781  52641.0  no     359168  134534   no     345998  183516   no     443937  182076   no    
0            288477  57964.2  no     347379  148146   no     322866  137771   no     437834  179866   no    
0            278731  61310.0  no     345073  135855   no     279248  115328   no     383177  170371   no    
0            276113  57989.6  no     348818  145882   no     246240   76462   no     351819  136389   no    
0            276972  62162.6  no     339122  144720   no     230297   41429   no     305940  122452   no    
0            277968  53564.3  no     349583  150900   no     218609   37249   no     278874  107402   no    
0            275719  51520.7  no     352152  155789   no     209141   39564   no     239656   91729   no    
0            276438  60605.0  no     343967  154138   no     216287   38486   no     243548   82586   no    
0            269136  56493.7  no     335624  147038   no     213661   47238   no     244216   92503   no    
0            267428  55845.5  no     325627  136558   no     220299   51357   no     254710   88476   no    
0            266327  47691.2  no     318655  117558   no     220301   61340   no     249197   85776   no    
0            269194  53646.8  no     321103  102550   no     219358   49571   no     244998   78016   no    
0            266412  51833.6  no     311829   92611   no     212799   55239   no     236865   71651   no    
0            266001  51953.7  no     315811   90316   no     221722   60752   no     238918   50106   no    
0            268905  46235.1  no     304992   77425   no     232934   59644   no     243173   47769   no    
0            279661  51160.3  no     301954   76718   no     224186   61582   no     227510   46588   no    
0            271852  52028.0  no     300556   68647   no     232003   43606   no     238093   45554   no    
0            273665  47506.8  no     292330   63381   no     233266   51185   no     249316   42799   no    
0            271940  49395.4  no     297915   67865   no     237716   50563   no     245109   43779   no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	3.455013e+05
0.000000e+00	3.335859e+05
0.000000e+00	3.238040e+05
0.000000e+00	3.213009e+05
0.000000e+00	3.135589e+05
0.000000e+00	3.070428e+05
0.000000e+00	3.031389e+05
0.000000e+00	3.023626e+05
0.000000e+00	2.981840e+05
0.000000e+00	2.968361e+05
0.000000e+00	2.916556e+05
0.000000e+00	2.952668e+05
0.000000e+00	2.873879e+05
0.000000e+00	2.827805e+05
0.000000e+00	2.884765e+05
0.000000e+00	2.787305e+05
0.000000e+00	2.761126e+05
0.000000e+00	2.769720e+05
0.000000e+00	2.779678e+05
0.000000e+00	2.757188e+05
0.000000e+00	2.764382e+05
0.000000e+00	2.691361e+05
0.000000e+00	2.674284e+05
0.000000e+00	2.663267e+05
0.000000e+00	2.691941e+05
0.000000e+00	2.664122e+05
0.000000e+00	2.660009e+05
0.000000e+00	2.689050e+05
0.000000e+00	2.796608e+05
0.000000e+00	2.718523e+05
0.000000e+00	2.736650e+05
0.000000e+00	2.719405e+05

Line="Roi_2"
0.000000e+00	3.877836e+05
0.000000e+00	3.737121e+05
0.000000e+00	3.857023e+05
0.000000e+00	3.784366e+05
0.000000e+00	3.688592e+05
0.000000e+00	3.627283e+05
0.000000e+00	3.750367e+05
0.000000e+00	3.623886e+05
0.000000e+00	3.732933e+05
0.000000e+00	3.477759e+05
0.000000e+00	3.411430e+05
0.000000e+00	3.520088e+05
0.000000e+00	3.448903e+05
0.000000e+00	3.591677e+05
0.000000e+00	3.473793e+05
0.000000e+00	3.450734e+05
0.000000e+00	3.488178e+05
0.000000e+00	3.391219e+05
0.000000e+00	3.495827e+05
0.000000e+00	3.521522e+05
0.000000e+00	3.439670e+05
0.000000e+00	3.356242e+05
0.000000e+00	3.256269e+05
0.000000e+00	3.186554e+05
0.000000e+00	3.211029e+05
0.000000e+00	3.118294e+05
0.000000e+00	3.158111e+05
0.000000e+00	3.049915e+05
0.000000e+00	3.019541e+05
0.000000e+00	3.005563e+05
0.000000e+00	2.923302e+05
0.000000e+00	2.979150e+05

Line="Roi_3"
0.000000e+00	6.380721e+05
0.000000e+00	6.371350e+05
0.000000e+00	6.271173e+05
0.000000e+00	6.253370e+05
0.000000e+00	6.087958e+05
0.000000e+00	5.976185e+05
0.000000e+00	5.861928e+05
0.000000e+00	5.599470e+05
0.000000e+00	5.339175e+05
0.000000e+00	4.953585e+05
0.000000e+00	4.442501e+05
0.000000e+00	4.048300e+05
0.000000e+00	3.691474e+05
0.000000e+00	3.459980e+05
0.000000e+00	3.228658e+05
0.000000e+00	2.792485e+05
0.000000e+00	2.462395e+05
0.000000e+00	2.302970e+05
0.000000e+00	2.186089e+05
0.000000e+00	2.091413e+05
0.000000e+00	2.162871e+05
0.000000e+00	2.136607e+05
0.000000e+00	2.202987e+05
0.000000e+00	2.203011e+05
0.000000e+00	2.193583e+05
0.000000e+00	2.127987e+05
0.000000e+00	2.217217e+05
0.000000e+00	2.329336e+05
0.000000e+00	2.241863e+05
0.000000e+00	2.320031e+05
0.000000e+00	2.332662e+05
0.000000e+00	2.377159e+05

Line="Roi_4"
0.000000e+00	5.617982e+05
0.000000e+00	5.442956e+05
0.000000e+00	5.404925e+05
0.000000e+00	5.591191e+05
0.000000e+00	5.494881e+05
0.000000e+00	5.478888e+05
0.000000e+00	5.505035e+05
0.000000e+00	5.115653e+05
0.000000e+00	5.017165e+05
0.000000e+00	4.713130e+05
0.000000e+00	4.527938e+05
0.000000e+00	4.584669e+05
0.000000e+00	4.543928e+05
0.000000e+00	4.439369e+05
0.000000e+00	4.378335e+05
0.000000e+00	3.831774e+05
0.000000e+00	3.518189e+05
0.000000e+00	3.059397e+05
0.000000e+00	2.788741e+05
0.000000e+00	2.396564e+05
0.000000e+00	2.435478e+05
0.000000e+00	2.442162e+05
0.000000e+00	2.547099e+05
0.000000e+00	2.491965e+05
0.000000e+00	2.449977e+05
0.000000e+00	2.368648e+05
0.000000e+00	2.389175e+05
0.000000e+00	2.431730e+05
0.000000e+00	2.275102e+05
0.000000e+00	2.380933e+05
0.000000e+00	2.493159e+05
0.000000e+00	2.451093e+05

