ROI name    Roi_1                   Roi_2                   Roi_3                   Roi_4                   
ROI area        0.22 cm2                  0.063 cm2                   0.10 cm2                  0.082 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            330483  50219.5  no     299544  13836.0  no     292271  31416.4  no     262557  20009.8  no    
0            291020  49334.5  no     236242  18064.2  no     220492  28515.3  no     192674  17940.3  no    
0            211110  42870.6  no     148365  15958.0  no     150563  26873.2  no     124651  12512.7  no    
0            187885  41329.5  no     125996  18496.6  no     115359  23842.8  no      88287  11253.2  no    
0            149003  33438.7  no      85653  19377.5  no      78148  21112.4  no      56503  11202.9  no    
0            124049  35359.2  no      66840  18075.4  no      71090  21408.4  no      50749  11110.4  no    
0            109282  28022.1  no      53506  16412.9  no      43763  19204.2  no      27800   9126.4  no    
0             90322  27579.8  no      43537  15741.7  no      45407  18592.7  no      27243   9632.2  no    
0             74782  25686.1  no      32420  12477.3  no      34029  15673.1  no      24689   8520.8  no    
0             70468  22489.9  no      31867  12256.4  no      25718  12905.8  no      15288   8837.9  no    
0             59569  20821.2  no      28590  11144.2  no      25512  13844.2  no      14634   7698.1  no    
0             52863  20484.0  no      18608  10157.2  no      19270  11001.7  no      13643   7060.9  no    
Title="Plot"
Xaxis="user units"
Yaxis="no scaling"

Line="Roi_1"
0.000000e+00	3.304832e+05
0.000000e+00	2.910201e+05
0.000000e+00	2.111097e+05
0.000000e+00	1.878846e+05
0.000000e+00	1.490029e+05
0.000000e+00	1.240487e+05
0.000000e+00	1.092816e+05
0.000000e+00	9.032244e+04
0.000000e+00	7.478154e+04
0.000000e+00	7.046807e+04
0.000000e+00	5.956879e+04
0.000000e+00	5.286300e+04

Line="Roi_2"
0.000000e+00	2.995444e+05
0.000000e+00	2.362421e+05
0.000000e+00	1.483652e+05
0.000000e+00	1.259960e+05
0.000000e+00	8.565263e+04
0.000000e+00	6.684047e+04
0.000000e+00	5.350585e+04
0.000000e+00	4.353734e+04
0.000000e+00	3.242047e+04
0.000000e+00	3.186744e+04
0.000000e+00	2.858975e+04
0.000000e+00	1.860807e+04

Line="Roi_3"
0.000000e+00	2.922706e+05
0.000000e+00	2.204915e+05
0.000000e+00	1.505631e+05
0.000000e+00	1.153591e+05
0.000000e+00	7.814783e+04
0.000000e+00	7.108983e+04
0.000000e+00	4.376349e+04
0.000000e+00	4.540681e+04
0.000000e+00	3.402947e+04
0.000000e+00	2.571777e+04
0.000000e+00	2.551157e+04
0.000000e+00	1.926981e+04

Line="Roi_4"
0.000000e+00	2.625567e+05
0.000000e+00	1.926742e+05
0.000000e+00	1.246505e+05
0.000000e+00	8.828657e+04
0.000000e+00	5.650269e+04
0.000000e+00	5.074907e+04
0.000000e+00	2.779962e+04
0.000000e+00	2.724282e+04
0.000000e+00	2.468919e+04
0.000000e+00	1.528784e+04
0.000000e+00	1.463427e+04
0.000000e+00	1.364271e+04

